P_ID,Name,Age(years),Gender,Income,State_ID
100,Divya,36,Female,"$25,000 - $34,999",600000
101,Nirav,23,Male,"Less than $15,000",600001
102,Aishwarya,50,Female,"Less than $15,000",600002
103,Raj,29,Male,"Less than $15,000",600003
104,Tanvi,22,Female,"Less than $15,000",600004
105,Dipti,34,Female,"$50,000 - $74,999",600005
106,Pooja,38,Female,Unemployed,600006
107,Meenal,37,Female,"$15,000 - $24,999",600007
108,Tanvi,41,Female,"$35,000 - $49,999",600008
109,Bhavesh,33,Male,"Less than $15,000",600009
110,Pranav,30,Male,"Less than $15,000",600010
111,Tushar,39,Male,"$25,000 - $34,999",600011
112,Ishita,40,Female,Unemployed,600012
113,Raj,35,Male,"$75,000 or greater",600013
114,Varun,41,Male,"$15,000 - $24,999",600014
115,Shrey,20,Male,"$15,000 - $24,999",600015
116,Dipti,49,Female,Unemployed,600016
117,Aarav,36,Male,"$25,000 - $34,999",600017
118,Dev,40,Male,"$75,000 or greater",600018
119,Garima,48,Female,"$75,000 or greater",600019
120,Karan,48,Male,"$50,000 - $74,999",600020
121,Mayank,49,Male,"$25,000 - $34,999",600021
122,Parth,35,Male,"$35,000 - $49,999",600022
123,Meenal,43,Female,"$75,000 or greater",600023
124,Harsh,23,Male,"$25,000 - $34,999",600024
125,Ankit,44,Male,Unemployed,600025
126,Ekta,41,Female,Unemployed,600026
127,Indira,50,Female,"$75,000 or greater",600027
128,Yash,30,Male,Unemployed,600028
129,Nirav,21,Male,"$35,000 - $49,999",600029
130,Pranav,38,Male,"Less than $15,000",600030
131,Aarav,22,Male,"$75,000 or greater",600031
132,Kavya,45,Female,Unemployed,600032
133,Suresh,23,Male,"Less than $15,000",600033
134,Sonal,44,Female,"$75,000 or greater",600034
135,Meenal,23,Female,"$35,000 - $49,999",600035
136,Arjun,25,Male,"$35,000 - $49,999",600036
137,Gaurav,27,Male,"$50,000 - $74,999",600037
138,Rupal,43,Female,"Less than $15,000",600038
139,Lalit,23,Male,Unemployed,600039
140,Rohan,22,Male,"Less than $15,000",600040
141,Zaid,49,Male,"$15,000 - $24,999",600041
142,Garima,29,Female,"Less than $15,000",600042
143,Vandana,24,Female,"Less than $15,000",600043
144,Meera,38,Female,"$15,000 - $24,999",600044
145,Siddharth,22,Male,"Less than $15,000",600045
146,Parth,42,Male,"$75,000 or greater",600046
147,Tushar,40,Male,"$50,000 - $74,999",600047
148,Vivaan,32,Male,"$25,000 - $34,999",600048
149,Manisha,35,Female,"$50,000 - $74,999",600049
150,Yamini,46,Female,"$50,000 - $74,999",600050
151,Vishal,33,Male,"$75,000 or greater",600051
152,Vandana,43,Female,Unemployed,600052
153,Sneha,20,Female,"Less than $15,000",600053
154,Tarun,30,Male,"$50,000 - $74,999",600054
155,Harsh,28,Male,"$35,000 - $49,999",600055
156,Simran,28,Female,"Less than $15,000",600056
157,Suresh,45,Male,"$15,000 - $24,999",600057
158,Aditi,40,Female,"$35,000 - $49,999",600058
159,Simran,41,Female,"$50,000 - $74,999",600059
160,Rahul,45,Male,"Less than $15,000",600060
161,Vaishali,46,Female,"Less than $15,000",600061
162,Karan,20,Male,"$75,000 or greater",600062
163,Kripa,27,Female,"Less than $15,000",600063
164,Abhishek,44,Male,"$50,000 - $74,999",600064
165,Bhavesh,31,Male,"$50,000 - $74,999",600065
